,statement,source,t/f status
290,"A dog endured “unimaginable pain and suffering” during heart research experiments, “just one of 300 killed in (Dr. Mehmet) Oz’s lab.”",Senate Majority PAC,half-true
291,“California is registering non-citizens to vote and has refused to cooperate with the Federal Election Integrity Program.”,Facebook posts,false
292,"Suggests fentanyl, not Derek Chauvin, killed George Floyd",Kanye West,false
293,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",Viral image,false
294,“Trans species man who self-identifies as a deer accidentally shot by hunters.”,Viral image,pants-fire
295,"Abraham Hamadeh misled ""about his legal experience.”",Arizona Democratic Party,half-true
296,“Covid vaccinations now prohibited in people under 50 in Denmark.”,Viral image,false
297,“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,Joe Manchin,mostly-true
298,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",Joe Manchin,half-true
299,"Abigail Spanberger supported “nearly $1 billion in stimulus checks for prisoners, including domestic terrorists.”",National Republican Congressional Committee,half-true
300,"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",Facebook posts,false
301,There’s a “coincidental correlation” between COVID-19 vaccines and a spike in cancer in adults younger than 50.,Instagram posts,false
302,Barack Obama said he walks with his “husband Michael and hold hands.”,Viral image,pants-fire
303,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",Viral image,false
304,Seattle authorities are investigating a string of serial killings.,Instagram posts,false
305,“Black women are 3 to 4 times more likely to die (from maternal mortality) even when they have the insurance and the income.”,Raphael Warnock,mostly-true
306,"In Texas, a person can register a dead relative to vote and then cast a mail ballot in their name.",Facebook posts,barely-true
307,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",Facebook posts,false
308,Federal aid to tribal governments is “foreign aid.”,Nick Myers,pants-fire
309,Says “Tim Michels wants to defund public education — calling it ‘the definition of insanity’ to continue to fund public schools.”,Tony Evers,barely-true
310,The Electronic Registration Information Center is “a system that’s funded by George Soros.”,Mark Finchem,false
311,"If a sealed bag of raw poultry appears “puffy,” it means the protein is not safe to consume.",Facebook posts,false
312,"As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”",Club for Growth,barely-true
313,Video shows gunfire in Venezuela.,Instagram posts,false
314,“Trump woken up from his bed by police.”,Facebook posts,false
315,Pfizer executive “admits” vaccine was never tested for preventing transmission.,Instagram posts,false
316,“Kamala Harris resigns in shock after Biden’s ‘mandatory’ border trip…Trump jails ‘corrupt’ VP.”,Facebook posts,pants-fire
317,“Premature babies are at a much higher risk of injury from immunizations than full-term babies.”,Instagram posts,false
318,The government is giving every household a $500 Walmart shopping credit to help with inflation.,Facebook posts,pants-fire
319,"The Biden administration has “created” more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.",Joe Biden,half-true
320,“I don’t care for mail-in voting. That’s why I go to the polls.”,Mark Finchem,full-flop
321,“Overdoses reached an all-time high in 2021.”,West Virginia Republican Party,true
322,Donald Trump’s “rally just got shut down after no one shows up.”,Facebook posts,false
323,"""In Germany, millions of solar panels are blanketed in snow and 30,000 wind turbines are sitting idle because there’s no wind.”",Instagram posts,false
324,Says Adam Laxalt said it is “good news” that “a lot of those Hispanic small businesses never reopened” after the pandemic.,Catherine Cortez Masto,false
325,Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”,Katie Hobbs,mostly-true
326,“Merrick Garland catches Trump planning to flee.”,Facebook posts,false
327,North Korea has taken military action against Russia.,Facebook posts,pants-fire
328,A study showed mRNA COVID-19 vaccines are harmful to infants who are breastfeeding.,Instagram posts,barely-true
329,“Katie Hobbs voted for allowing a baby who survives an abortion — that the hospital would refuse medical care and allow the baby to die on a cold metal tray.”,Kari Lake,barely-true
330,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,J.D. Vance,half-true
331,"The ""Department of Homeland Security and the State Department coordinated with a group called the ‘Election Integrity Partnership’ to censor Joe Biden’s opponents.”",Instagram posts,false
332,"There’s “evidence of a massive transfer of completed, curated ballots” that are fraudulent in the 2022 election.",Facebook posts,false
333,"U.S. Sen. Marco Rubio ""has denied climate change.""",Val Demings,half-true
334,"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”",Liz Wheeler,false
335,On House Minority Leader Kevin McCarthy.,Yesli Vega,full-flop
336,"Parasite cleanses ""kill herpes by starving the parasites in the stomach.""",Facebook posts,pants-fire
337,Adam Laxalt “would let Nevada and other states ban abortion with zero exceptions.”,Democratic Senatorial Campaign Committee,half-true
338,“President Trump and I lost an election in 2020 because of a rigged election.”,Jim Marchant,pants-fire
339,"""55,000 years ago the world was 2 degrees warmer Celsius than it is today.”",Facebook posts,false
340,"Wiley Nickel supports “abortion all the way up until the point of birth, even post-birth.”",Bo Hines,false
341,California’s Senate Bill 107 means “your child can now be taken from your custody if you do not affirm gender-reassignment surgery.”,Facebook posts,false
342,"“Donald Trump is back on Twitter,” thanks to Elon Musk.",Facebook posts,false
343,"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",Ron Johnson,pants-fire
344,“Norway readies its military to counter Biden.”,Facebook posts,false
345,The Jan. 6 hearing “was abruptly canceled after it was revealed that news networks would not be showing it.”,Facebook posts,false
346,"COVID was ""so bad one year, they just forgot to give us a hurricane? What’s really going on here.”",Instagram posts,pants-fire
347,On supporting student debt relief.,Tim Ryan,half-flip
348,Says Tony Evers is “a career politician.”,Tim Michels,barely-true
349,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",Instagram posts,barely-true
350,Buzz Aldrin admitted that the moon landing “didn’t happen.”,Viral image,false
351,Judge Aileen Cannon “loses her license.”,Facebook posts,false
352,Says Mandela Barnes “supported a 20% increase in the gas tax.”,Ron Johnson,half-true
353,“The Obama Foundation stored classified documents in an abandoned furniture warehouse.”,Facebook posts,pants-fire
354,Antony Blinken “confesses that Biden” is responsible for the Nord Stream pipeline leaks.,Facebook posts,false
355,Aileen Cannon has been arrested.,Facebook posts,pants-fire
356,"""Defibrillators are being installed all over” the U.K. after a child’s death, which may be “why the UK suddenly stopped” COVID-19 vaccination for children under 11 years old.",Instagram posts,false
357,"Val Demings ""voted to allow transgender youth sports and teaching radical gender identity without parental consent.""",Marco Rubio,half-true
358,“Dr. Oz wins seat.”,Facebook posts,pants-fire
359,Pennsylvania Senate candidate John Fetterman’s tattoo references ‘heroin use’ and the Crips,Newt Gingrich,barely-true
